Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,,
SMFBS,"1,828.78",0.98,"1,844.00","1,845.00","1,807.20",766,"1,811.00",17.78,,
SMH,926.73,0.55,939.00,939.00,900.00,"2,605",921.63,5.1,,
SMHL,881.37,2.71,855.00,887.60,846.00,"7,981",858.15,23.22,,
SMJC,585.64,3.37,577.00,599.70,555.00,"36,132",566.53,19.11,,
SMPDA,948.65,3,925.00,950.00,915.00,"7,037",921.04,27.61,,
SNLI,643.19,3.22,622.00,645.00,622.00,"20,083",623.13,20.06,,
SONA,465.55,2.09,446.90,469.20,446.90,"44,381",456.02,9.53,,
SPC,517.75,1.9,510.00,523.90,502.00,"26,454",508.09,9.66,,
SPDL,319.92,1.39,315.00,324.00,313.10,"44,915",315.52,4.4,,
SPHL,753.96,3.04,725.00,760.90,725.00,"1,936",731.71,22.25,,
SPIL,816.68,2.56,800.00,819.00,800.00,"17,159",796.27,20.41,,
SPL,843.17,1.53,816.20,845.00,814.10,"2,120",830.45,12.72,,
SRBLD83,"1,086.00",2.82,"1,077.00","1,086.00","1,077.00",43,"1,056.20",29.8,,
SRLI,415.17,0.94,403.10,417.00,403.10,"46,222",411.30,3.87,,
SSHL,227.87,1.28,222.00,229.00,222.00,"48,708",225.00,2.87,,
STC,"5,197.26",0.88,"5,150.00","5,200.00","5,138.00","1,767","5,151.87",45.39,,
SWBBL,828.53,1.36,832.00,832.00,801.00,"7,393",817.40,11.13,,
SWMF,727.65,1.06,720.00,732.00,716.00,"3,284",720.05,7.6,,
TAMOR,507.07,1.52,503.00,510.00,495.00,"9,457",499.48,7.59,,
TPC,499.10,0.06,505.00,510.00,492.20,"34,617",498.80,0.3,,
TRH,"1,055.86",1.89,"1,022.00","1,060.80","1,022.00","1,563","1,036.30",19.56,,
TSHL,785.31,0.26,798.00,810.00,769.10,"4,960",783.25,2.06,,
TVCL,511.54,2.06,491.30,517.00,491.30,"13,038",501.23,10.31,,
UAIL,636.51,1.68,626.00,640.00,626.00,"18,538",625.97,10.54,,
UHEWA,752.32,-0.07,750.00,764.00,743.00,"10,610",752.81,-0.49,,
ULBSL,"3,431.75",-7.09,"3,767.40","3,767.40","3,324.30","10,992","3,693.58",-261.83,,
ULHC,513.58,2.79,509.60,519.00,497.00,"24,571",499.64,13.94,,
UMHL,438.79,0.27,435.00,442.80,432.00,"243,627",437.60,1.19,,
UMRH,611.33,4.03,598.00,618.00,586.10,"34,229",587.62,23.71,,
UNHPL,298.41,1.38,290.00,303.00,290.00,"60,416",294.36,4.05,,
UNL,"46,001.00",-0.43,"46,001.00","46,001.00","46,001.00",10,"46,200.00",-199,,
UNLB,"2,200.45",-0.04,"2,229.00","2,239.50","2,151.10","1,244","2,201.44",-0.99,,
UPCL,282.46,1.56,283.60,286.40,278.00,"117,263",278.13,4.33,,
UPPER,200.15,1,198.17,200.90,197.10,"120,059",198.17,1.98,,
USHEC,597.64,3.07,570.00,600.00,570.00,"7,390",579.84,17.8,,
USHL,730.43,0.75,735.00,754.10,728.10,"1,403",725.02,5.41,,
USLB,"1,669.38",2.88,"1,650.00","1,689.90","1,638.50",966,"1,622.68",46.7,,
VLBS,840.72,2.37,807.00,845.00,807.00,"1,583",821.29,19.43,,
VLUCL,660.20,1.41,660.00,673.00,647.30,"10,773",651.02,9.18,,
WNLB,"2,906.55",0.13,"2,845.00","2,920.00","2,751.00","1,280","2,902.68",3.87,,
